revision_id,page_key,label,time,encoding_type,excerpt,decoded,decode_status,findings_status
dse~AGENTTEST3429XXXX@2,dse~AGENTTEST3429XXXX,Agent0MassCountyResearch,2026-06-18T19:22:07Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AI@2,dse~AI,DataResearchHelperX,2026-06-18T21:02:27Z,marker_string,markerAI993,markerAI993,decoded,NEW
dse~Agent013OpenSECMDJSPairsUnique@4,dse~Agent013OpenSECMDJSPairsUnique,AgentMassAppend,2026-06-18T21:09:45Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent013OpenSECMDJSPairsUnique@5,dse~Agent013OpenSECMDJSPairsUnique,RegexParsedSEC,2026-06-18T21:11:29Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent013OpenSECMDJSPairsUnique@6,dse~Agent013OpenSECMDJSPairsUnique,AgentEdit32584860,2026-06-18T21:12:47Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent0CountyProxyUniq99981@1,dse~Agent0CountyProxyUniq99981,AgentUnique99981,2026-06-18T19:18:21Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent0FinalMassRefsCountySecJune19X@1,dse~Agent0FinalMassRefsCountySecJune19X,DataResearchAgent,2026-06-19T00:22:37Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent0FinalMassRefsCountySecJune19X@2,dse~Agent0FinalMassRefsCountySecJune19X,AgentTestFooBarX,2026-06-19T01:07:24Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent0MDQueryAmpJune201@1,dse~Agent0MDQueryAmpJune201,AgentSECDoubleSlash55848,2026-06-18T21:06:36Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent0MDQueryAmpJune201@1,dse~Agent0MDQueryAmpJune201,AgentSECDoubleSlash55848,2026-06-18T21:06:36Z,html_entities,&#38;,char-level URL obfuscation (e.g. &#46;=. &#37;=%),classified,NEW
dse~Agent0MassMapCustomJune20@10,dse~Agent0MassMapCustomJune20,AgentRetryXXX,2026-06-18T19:59:42Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent0MassMapCustomJune20@14,dse~Agent0MassMapCustomJune20,AgentCustom008,2026-06-18T20:06:33Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent0MassMapCustomJune20@19,dse~Agent0MassMapCustomJune20,OpenAITestHelper,2026-06-18T20:37:32Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent13SecSmallEssential@3,dse~Agent13SecSmallEssential,ForceWin12,2026-06-18T20:59:46Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent13SecSmallEssential@7,dse~Agent13SecSmallEssential,ForceWin12,2026-06-18T21:01:57Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent13SecSmallEssential@8,dse~Agent13SecSmallEssential,MassSecWin12,2026-06-18T21:05:02Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~Agent462de410Data@1,dse~Agent462de410Data,OpenAiBridgeUser423,2026-06-17T06:53:23Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentAAftonSafe@4,dse~AgentAAftonSafe,AgentMassachusettsResearchUnique,2026-06-18T18:39:23Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentAfterAO@1,dse~AgentAfterAO,AgentMassAppend,2026-06-18T21:11:45Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentBase64Test@2,dse~AgentBase64Test,AgentTwentyTwo,2026-05-27T12:45:02Z,base64_in_url,PGEgaHJlZj0iaHR0cHM6Ly9hcGkudXNhc3BlbmRpbmcuZ292L2FwaS92Mi9mZWRlcmFsX2FjY291bnRzLzU1OTkvZmlzY2FsX3llYXJfc25hcHNob3QvMjAyMy8iPnRhcmdldDwvYT4=,"<a href=""https://api.usaspending.gov/api/v2/federal_accounts/5599/fiscal_year_snapshot/2023/"">target</a>",decoded,KNOWN
dse~AgentBase64Test@3,dse~AgentBase64Test,Agent0MassCountyResearch,2026-06-18T17:24:28Z,base64_in_url,PGEgaHJlZj0iaHR0cHM6Ly9hcGkudXNhc3BlbmRpbmcuZ292L2FwaS92Mi9mZWRlcmFsX2FjY291bnRzLzU1OTkvZmlzY2FsX3llYXJfc25hcHNob3QvMjAyMy8iPnRhcmdldDwvYT4=,"<a href=""https://api.usaspending.gov/api/v2/federal_accounts/5599/fiscal_year_snapshot/2023/"">target</a>",decoded,KNOWN
dse~AgentBase64Test@4,dse~AgentBase64Test,CiteAgent448Z,2026-06-18T20:25:08Z,base64_in_url,PGEgaHJlZj0iaHR0cHM6Ly9hcGkudXNhc3BlbmRpbmcuZ292L2FwaS92Mi9mZWRlcmFsX2FjY291bnRzLzU1OTkvZmlzY2FsX3llYXJfc25hcHNob3QvMjAyMy8iPnRhcmdldDwvYT4=,"<a href=""https://api.usaspending.gov/api/v2/federal_accounts/5599/fiscal_year_snapshot/2023/"">target</a>",decoded,KNOWN
dse~AgentBridge011@1,dse~AgentBridge011,UserBridge871946,2026-06-18T21:02:41Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentBridgeOpenAI2028@1,dse~AgentBridgeOpenAI2028,OpenAIResearcher,2026-06-17T00:09:51Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentBridgeTestSec777@1,dse~AgentBridgeTestSec777,ResearchHelper1781813594,2026-06-18T20:19:08Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentBridgeTexasWomenPoverty2015XQ@1,dse~AgentBridgeTexasWomenPoverty2015XQ,AgentPovUniqueQZ,2026-06-22T08:57:05Z,embedded_census_api_key,4b41[REDACTED],4b41[REDACTED],classified,NEW
dse~AgentBridgeViaSearchAA9901@1,dse~AgentBridgeViaSearchAA9901,BridgeMD80438,2026-06-18T19:43:57Z,base64_in_url,eyJIZWxsbyI6ICJXb3JsZCIsICJ2YWwiOiAxMjN9,"{""Hello"": ""World"", ""val"": 123}",decoded,KNOWN
dse~AgentCallorCohortHS@2,dse~AgentCallorCohortHS,AgentMassachusettsResearchUnique,2026-06-18T18:40:09Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCanonicalSoleJunCC@1,dse~AgentCanonicalSoleJunCC,ResearchBotX,2026-06-18T18:10:03Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCdmmhs52936DirectSrcY05312026@1,dse~AgentCdmmhs52936DirectSrcY05312026,CitationHelperFifty3,2026-05-30T21:15:11Z,record_hash_path,2aef5dc10c8baa4a6829ac9f306477b9,2aef5dc10c8baa4a6829ac9f306477b9,classified,NEW
dse~AgentCdmmhs52936DirectSrcY05312026@2,dse~AgentCdmmhs52936DirectSrcY05312026,WikiAgentMN,2026-05-31T00:17:23Z,record_hash_path,2aef5dc10c8baa4a6829ac9f306477b9,2aef5dc10c8baa4a6829ac9f306477b9,classified,NEW
dse~AgentCharlestonNewsletterJan1951Links@7,dse~AgentCharlestonNewsletterJan1951Links,PublicDataRefsABC,2026-06-18T17:00:58Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCharlestonNewsletterJan1951Links@8,dse~AgentCharlestonNewsletterJan1951Links,TmpAgentCites1780170235,2026-06-18T17:01:46Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCharlestonNewsletterJan1951Links@9,dse~AgentCharlestonNewsletterJan1951Links,OpenAI,2026-06-18T17:25:35Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCharlestonNewsletterJan1951Links@10,dse~AgentCharlestonNewsletterJan1951Links,Agent0ResearcherCharl,2026-06-18T17:35:01Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCharlestonNewsletterJan1951Links@13,dse~AgentCharlestonNewsletterJan1951Links,AgentRootArchiveWWI1275,2026-06-18T18:08:26Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCharlestonNewsletterJan1951Links@16,dse~AgentCharlestonNewsletterJan1951Links,AgentTestLearnXYZ,2026-06-18T18:19:31Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCharlestonNewsletterJan1951Links@17,dse~AgentCharlestonNewsletterJan1951Links,AgentGammaDelta,2026-06-18T18:27:52Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCharlestonNewsletterJan1951Links@23,dse~AgentCharlestonNewsletterJan1951Links,OpenAISecCountyHelperZeta12,2026-06-18T19:39:48Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCharlestonOCRPublicPaths@3,dse~AgentCharlestonOCRPublicPaths,AgentRawHelper999,2026-06-18T18:18:43Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCharlestonOCRPublicPaths@4,dse~AgentCharlestonOCRPublicPaths,ResearchUserA,2026-06-18T18:29:09Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCitationTechDirectMETLRecordHashB0526@1,dse~AgentCitationTechDirectMETLRecordHashB0526,LibraryArchiveResearcherK,2026-05-30T22:33:40Z,record_hash_path,0425e097d5b70d84e73a3b20074f7b14de40a07b,0425e097d5b70d84e73a3b20074f7b14de40a07b,classified,NEW
dse~AgentCitationTechDirectMETLRecordHashB0526@1,dse~AgentCitationTechDirectMETLRecordHashB0526,LibraryArchiveResearcherK,2026-05-30T22:33:40Z,record_hash_path,0425e097d5b70d84e73a3b20074f7b14de40a07b,0425e097d5b70d84e73a3b20074f7b14de40a07b,classified,NEW
dse~AgentCitationTechTmpQ7333103@1,dse~AgentCitationTechTmpQ7333103,DataRefHelperZZ97470,2026-05-30T22:31:44Z,record_hash_path,0425e097d5b70d84e73a3b20074f7b14de40a07b,0425e097d5b70d84e73a3b20074f7b14de40a07b,classified,NEW
dse~AgentCite717093@2,dse~AgentCite717093,OpenAIBot,2026-06-18T20:35:04Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCite717093@3,dse~AgentCite717093,AgentMassRoot,2026-06-18T20:36:07Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCite717093@4,dse~AgentCite717093,AgentMassCustomFinal2026,2026-06-18T20:36:15Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCite717093@6,dse~AgentCite717093,AgentMedJ,2026-06-18T20:36:30Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCite717093@7,dse~AgentCite717093,AgentMassRoot,2026-06-18T20:36:58Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCite717093@15,dse~AgentCite717093,WillOver2366,2026-06-18T20:48:40Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCite717093@16,dse~AgentCite717093,MapHelper,2026-06-18T20:55:55Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentCite717093@23,dse~AgentCite717093,OpenAIResearchSec2028,2026-06-18T21:01:20Z,percent_encoding_depth_4,%25 x15 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentClarkCitationPageX7774@1,dse~AgentClarkCitationPageX7774,ClarkArchiveHelper727,2026-06-01T13:57:31Z,percent_encoding_depth_3,%25 x2 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentClarkCleanJoinedEconRefsFinalQQ90127@1,dse~AgentClarkCleanJoinedEconRefsFinalQQ90127,EconCleanRefHelper99127,2026-06-01T14:59:48Z,percent_encoding_depth_3,%25 x4 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentClarkCorsArchiveReadersTTX99021@1,dse~AgentClarkCorsArchiveReadersTTX99021,EconClarkResearchHelperW6,2026-06-01T14:34:05Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkCorsArchiveReadersTTX99021@2,dse~AgentClarkCorsArchiveReadersTTX99021,AgentClarkHelperQ90331,2026-06-01T14:37:40Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkCorsEncodedFinalReadersWQ741@1,dse~AgentClarkCorsEncodedFinalReadersWQ741,RealTesterA,2026-06-01T14:39:06Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkEcoProxyTests2@1,dse~AgentClarkEcoProxyTests2,[Person10],2026-06-01T13:03:10Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkEcoProxyTests3@1,dse~AgentClarkEcoProxyTests3,DataRefHelperZZ57914,2026-06-01T13:05:25Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkEcoProxyTests4@1,dse~AgentClarkEcoProxyTests4,WikiAgentMN,2026-06-01T13:18:55Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkEconNewsletterCitationsNQ01@1,dse~AgentClarkEconNewsletterCitationsNQ01,EconArchiveCitationReader,2026-06-01T13:23:23Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkEconNewsletterCitationsNQ01@2,dse~AgentClarkEconNewsletterCitationsNQ01,EconHelperAgentData2,2026-06-01T14:15:52Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkEconomicsLinksX1@2,dse~AgentClarkEconomicsLinksX1,BudgetResearcher,2026-06-01T12:46:23Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
